,equity
2018-01-02,0.9995
2018-01-03,0.9901282759711466
2018-01-04,0.9841005683641605
2018-01-05,0.9829860991707691
2018-01-08,0.9850739276263429
2018-01-09,0.9780681912041334
2018-01-10,0.9717436119425922
2018-01-11,0.9795751310286903
2018-01-12,0.979949840308714
2018-01-15,0.9846899942200958
2018-01-16,0.9865416855630431
2018-01-17,0.9817380793266551
2018-01-18,0.9837624950228038
2018-01-19,0.9988021783329254
2018-01-22,0.9932230156960558
2018-01-23,0.9995792980283166
2018-01-24,0.9887479025928748
2018-01-25,0.9850221771746317
2018-01-26,0.9904997841076314
2018-01-29,0.9893230294270445
2018-01-30,0.9936264326262312
2018-01-31,0.9932750237620274
2018-02-01,0.9948267275605047
2018-02-02,0.9922289206384327
2018-02-05,1.0051430096716911
2018-02-06,1.0170956777901512
2018-02-07,1.0113064807371352
2018-02-08,1.0066549174667347
2018-02-09,1.013562495340294
2018-02-12,1.012531956786696
2018-02-13,1.0079784235433937
2018-02-14,1.003107856733826
2018-02-15,1.0014664838409073
2018-02-16,1.0086191608721833
2018-02-19,1.0107477521169528
2018-02-20,1.019579281891853
2018-02-21,1.0238208201352146
2018-02-22,1.0276452129719735
2018-02-23,1.0243867690405197
2018-02-26,1.0230060072745724
2018-02-27,1.0317030888614462
2018-02-28,1.0343556804379856
2018-03-01,1.026591814657073
2018-03-02,1.0366991563793073
2018-03-05,1.0384829433632166
2018-03-06,1.0459826318784595
2018-03-07,1.0586214125508182
2018-03-08,1.0670220423476455
2018-03-09,1.0699111680211135
2018-03-12,1.0875205755835742
2018-03-13,1.0915979045797324
2018-03-14,1.0965670260813605
2018-03-15,1.100627065588824
2018-03-16,1.1092290430543437
2018-03-19,1.1089118424689492
2018-03-20,1.1099643284237384
2018-03-21,1.1097675913892986
2018-03-22,1.1110964667366103
2018-03-23,1.1136492813007768
2018-03-26,1.1086160238596203
2018-03-27,1.108086546859657
2018-03-28,1.1064272577820053
2018-03-29,1.0925917369540088
2018-03-30,1.0854288465181936
2018-04-02,1.0808498977780479
2018-04-03,1.0810506400830577
2018-04-04,1.0849602146217905
2018-04-05,1.0937996553802867
